Epoch,Samples,Mean CER,Mean CER (Norm),Mean WER,Mean WER (Norm),Mean BLEU,Mean BLEU (Norm)
177,256,0.33203,0.08333,0.09375,0.09375,0.95902,0.95902
178,256,0.41797,0.10531,0.12500,0.12500,0.95301,0.95301
179,256,1.70312,0.43126,0.42188,0.42188,0.79372,0.79372
180,256,0.32422,0.08210,0.09766,0.09766,0.96002,0.96002
181,256,0.54297,0.13601,0.15234,0.15234,0.95020,0.95020
182,256,1.10938,0.27898,0.28516,0.28516,0.86613,0.86613
183,256,0.28125,0.07038,0.07422,0.07422,0.96426,0.96426
184,256,1.64844,0.40971,0.42578,0.42578,0.80485,0.80485
185,256,0.71875,0.18039,0.21094,0.21094,0.92781,0.92781
186,256,0.38672,0.09744,0.11719,0.11719,0.95667,0.95667
187,256,1.44922,0.36696,0.36328,0.36328,0.82325,0.82325
188,256,0.32031,0.08111,0.09375,0.09375,0.94061,0.94061
189,256,0.56641,0.14188,0.16016,0.16016,0.94232,0.94232
190,256,0.66797,0.16798,0.17578,0.17578,0.92326,0.92326
191,256,0.34766,0.08700,0.08984,0.08984,0.95839,0.95839
192,256,1.66406,0.41359,0.42578,0.42578,0.81595,0.81595
193,256,0.41016,0.10294,0.11719,0.11719,0.95091,0.95091
194,256,0.45312,0.11417,0.13281,0.13281,0.94067,0.94067
195,256,1.48047,0.37488,0.37109,0.37109,0.82290,0.82290
196,256,0.39844,0.10089,0.11719,0.11719,0.95253,0.95253
197,256,0.45703,0.11448,0.12891,0.12891,0.95156,0.95156
198,256,0.66797,0.16798,0.17188,0.17188,0.92332,0.92332
199,256,0.38672,0.09677,0.10156,0.10156,0.94653,0.94653
200,256,1.49609,0.37184,0.39062,0.39062,0.81923,0.81923
201,256,0.39453,0.09902,0.12109,0.12109,0.95761,0.95761
202,256,0.39453,0.09941,0.11719,0.11719,0.95371,0.95371
203,256,1.70312,0.43126,0.43750,0.43750,0.79418,0.79418
204,256,0.40625,0.10287,0.11719,0.11719,0.95661,0.95661
205,256,0.60547,0.15166,0.17578,0.17578,0.93991,0.93991
206,256,0.73438,0.18468,0.19531,0.19531,0.91472,0.91472
207,256,0.33594,0.08407,0.08984,0.08984,0.96316,0.96316
208,256,1.56250,0.38835,0.42188,0.42188,0.82671,0.82671
209,256,0.42188,0.10588,0.13672,0.13672,0.95327,0.95327
210,256,0.33203,0.08366,0.09766,0.09766,0.96441,0.96441
211,256,1.42969,0.36202,0.36719,0.36719,0.82851,0.82851
212,256,0.37891,0.09594,0.10938,0.10938,0.94498,0.94498
213,256,0.55078,0.13796,0.15234,0.15234,0.94701,0.94701
214,256,1.04688,0.26326,0.27344,0.27344,0.87610,0.87610
215,256,0.25781,0.06452,0.07031,0.07031,0.97106,0.97106
216,256,1.43750,0.35728,0.37109,0.37109,0.83934,0.83934
217,256,0.28516,0.07157,0.07422,0.07422,0.96932,0.96932
218,256,0.30078,0.07579,0.08984,0.08984,0.96267,0.96267
219,256,1.49219,0.37784,0.37891,0.37891,0.83107,0.83107
220,256,0.48047,0.12166,0.14453,0.14453,0.94991,0.94991
221,256,0.69141,0.17319,0.19922,0.19922,0.92275,0.92275
